,loss,acc,val_loss,val_acc,lr
0,5.003889560699463,0.40149998664855957,1.1042351722717285,0.4717741906642914,0.001
1,1.6350616216659546,0.47099998593330383,1.0718811750411987,0.45766130089759827,0.001
2,1.3541606664657593,0.5289999842643738,0.9543211460113525,0.5201612710952759,0.001
3,1.2541611194610596,0.5845000147819519,0.898750364780426,0.5483871102333069,0.001
4,1.0793514251708984,0.6000000238418579,1.060316801071167,0.5564516186714172,0.001
5,1.2874714136123657,0.6169999837875366,0.8586612939834595,0.6068548560142517,0.00085000007
6,0.8573114275932312,0.699999988079071,0.8842727541923523,0.6108871102333069,0.00085000007
7,0.7729281783103943,0.7384999990463257,0.8168606162071228,0.6048387289047241,0.00085000007
8,0.6791757941246033,0.7695000171661377,0.8508659601211548,0.6552419066429138,0.00085000007
9,0.6660844087600708,0.7864999771118164,0.8935697078704834,0.6270161271095276,0.00085000007
10,0.5455750226974487,0.8195000290870667,0.8518341183662415,0.6451612710952759,0.00061412505
11,0.5210788249969482,0.8234999775886536,0.9408189058303833,0.6653226017951965,0.00061412505
12,0.43250054121017456,0.8640000224113464,0.915334939956665,0.6814516186714172,0.00061412505
